brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
seat,leon,,,,,,,2012,150000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""parking_sensors"", ""speed_limiter""]"
dacia,logan mcv,,,,,,,2018,150000,,,,manual,,,,diesel,,,excellent,,5,,,"[""electric_windows"", ""leather_seats""]"
renault,kangoo,,,,,,,2018,120000,,,,manual,,,,diesel,,,new,,5,,,"[""airbags"", ""electric_windows""]"
renault,scenic,,,,,,,2001,200000,,,,manual,,,,diesel,,,good,,5,,,"[""alloy_wheels"", ""rear_camera""]"
volkswagen,touareg,,,,,,,2009,20000,,,,automatic,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
bmw,m4,,,,,,,2023,0,,,,automatic,,,,petrol,,,new,,3,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,106,,,,,,,1995,20000,,,,manual,,,,petrol,,,fair,,5,,,"[""electric_windows""]"
seat,ibiza,,,,,,,2020,80000,,,,manual,,,,petrol,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""central_locking"", ""electric_windows""]"
volkswagen,touareg,,,,,,,2018,170000,,,,automatic,,,,diesel,,,new,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
volkswagen,golf,,,,,,,1996,200000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels""]"
nissan,qashqai,,,,,,,2018,200000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
renault,19,,,,,,,1993,130000,,,,manual,,,,diesel,,,very good,,5,,,"[""bluetooth"", ""rear_camera""]"
dacia,sandero stepway,,,,,,,2018,60000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
volkswagen,golf,,,,,,,2014,160000,,,,automatic,,,,diesel,,,new,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""sunroof""]"
volvo,xc40,,,,,,,2022,35000,,,,automatic,,,hybrid,,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""rear_camera"", ""speed_limiter""]"
kia,sportage,,,,,,,2022,70000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
dacia,logan mcv,,,,,,,2018,95000,,,,manual,,,,diesel,,,good,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""electric_windows"", ""navigation""]"
peugeot,2008,,,,,,,2016,60000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,touareg,,,,,,,2015,95000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""rear_camera""]"
peugeot,208,,,,,,,2019,65000,,,,manual,,,,diesel,,,excellent,,,,,"[""bluetooth"", ""rear_camera""]"
volkswagen,tiguan,,,,,,,2016,120000,,,,manual,,,,diesel,,,new,,5,,,"[""abs"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""onboard_computer"", ""speed_limiter""]"
hyundai,santa fe,,,,,,,2021,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
alfa romeo,giulietta,,,,,,,2016,140000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""airbags"", ""bluetooth"", ""cruise_control"", ""speed_limiter""]"
peugeot,301,,,,,,,2022,80000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""navigation""]"
seat,altea xl,,,,,,,2016,95000,,,,manual,,,,diesel,,,very good,,5,,,"[""electric_windows""]"
dacia,sandero,,,,,,,2018,60000,,,,manual,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""bluetooth"", ""electric_windows"", ""navigation"", ""onboard_computer"", ""parking_sensors""]"
kia,rio,,,,,,,2020,50000,,,,manual,,,,petrol,,,excellent,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""electric_windows"", ""navigation"", ""rear_camera""]"
citroen,c3 aircross,,,,,,,2023,25000,,,,manual,,,,diesel,,,excellent,,,,,"[""abs"", ""air_conditioning"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""speed_limiter""]"
renault,clio,,,,,,,2018,110000,,,,manual,,,,diesel,,,very good,,5,,,"[""electric_windows"", ""leather_seats""]"
dacia,dokker,,,,,,,2019,130000,,,,manual,,,,diesel,,,very good,,5,,,"[""leather_seats"", ""rear_camera""]"
volkswagen,passat,,,,,,,2012,10000,,,,manual,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
hyundai,santa fe,,,,,,,2008,110000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""electric_windows"", ""navigation""]"
bmw,4 series gran coupe,,,,,,,2018,75000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
dacia,dokker,,,,,,,2015,200000,,,,manual,,,,diesel,,,excellent,,,,,"[""leather_seats""]"
73,595,,,,,,,2021,50000,,,,automatic,,,,petrol,,,excellent,,3,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
audi,q5,,,,,,,2022,45000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
skoda,karoq,,,,,,,2020,140000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
audi,q3,,,,,,,2020,90000,,,,automatic,,,,diesel,,,excellent,,,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
dacia,duster,,,,,,,2018,130000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""parking_sensors"", ""speed_limiter""]"
hyundai,ix35,,,,,,,2012,15000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter"", ""sunroof""]"
fiat,palio,,,,,,,1999,0,,,,manual,,,,petrol,,,good,,5,,,"[""leather_seats"", ""rear_camera""]"
skoda,octavia,,,,,,,2016,140000,,,,automatic,,,,diesel,,,new,,3,,,"[""electric_windows"", ""leather_seats""]"
hyundai,santa fe,,,,,,,2009,140000,,,,automatic,,,,diesel,,,good,,5,,,"[""air_conditioning"", ""airbags"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""parking_sensors"", ""rear_camera"", ""sunroof""]"
citroen,c3,,,,,,,2017,65000,,,,manual,,,,petrol,,,very good,,5,,,"[""leather_seats"", ""rear_camera""]"
ford,fiesta,,,,,,,2016,160000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning""]"
audi,a6,,,,,,,2015,200000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""rear_camera""]"
kia,picanto,,,,,,,2010,10000,,,,manual,,,,petrol,,,very good,,,,,"[""alloy_wheels"", ""leather_seats""]"
dacia,duster,,,,,,,2018,200000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
volkswagen,e-golf,,,,,,,1992,15000,,,,manual,,,,petrol,,,good,,5,,,"[""bluetooth"", ""electric_windows""]"
mercedes-benz,m class,,,,,,,2008,190000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,2008,,,,,,,2021,110000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
volkswagen,polo,,,,,,,2014,250000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
dacia,duster,,,,,,,2014,120000,,,,manual,,,,diesel,,,good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
bmw,2 series gran coupe,,,,,,,2021,120000,,,,automatic,,,,diesel,,,very good,,5,,,"[""alloy_wheels""]"
volkswagen,jetta,,,,,,,2017,120000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
citroen,berlingo,,,,,,,2019,130000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows""]"
mercedes-benz,cla class,,,,,,,2021,60000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
renault,kangoo,,,,,,,2018,110000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""central_locking"", ""rear_camera""]"
renault,clio,,,,,,,2005,250000,,,,manual,,,,diesel,,,good,,5,,,"[""electric_windows""]"
porsche,cayenne,,,,,,,2012,150000,,,,automatic,,,hybrid,,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
nissan,qashqai,,,,,,,2018,0,,,,manual,,,,diesel,,,excellent,,,,,"[""electric_windows""]"
opel,astra,,,,,,,2010,180000,,,,manual,,,,diesel,,,very good,,,,,"[""alloy_wheels"", ""electric_windows""]"
peugeot,208,,,,,,,2020,75000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""esp"", ""onboard_computer"", ""parking_sensors""]"
peugeot,508,,,,,,,2013,10000,,,,automatic,,,,diesel,,,good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""leather_seats"", ""parking_sensors"", ""speed_limiter""]"
mercedes-benz,c class,,,,,,,2015,110000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
dacia,dokker,,,,,,,2021,160000,,,,manual,,,,diesel,,,very good,,5,,,"[""air_conditioning"", ""electric_windows""]"
volkswagen,passat,,,,,,,1991,0,,,,manual,,,,diesel,,,good,,5,,,"[""bluetooth"", ""central_locking"", ""electric_windows""]"
volkswagen,golf,,,,,,,1995,250000,,,,manual,,,,diesel,,,good,,5,,,"[""electric_windows"", ""rear_camera""]"
ford,focus,,,,,,,2018,75000,,,,manual,,,,diesel,,,excellent,,5,,,"[""rear_camera""]"
dacia,dokker,,,,,,,2021,65000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,bora,,,,,,,2004,500000,,,,manual,,,,diesel,,,very good,,,,,"[""airbags"", ""alloy_wheels"", ""rear_camera""]"
hyundai,santa fe,,,,,,,2011,5000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
peugeot,301,,,,,,,2017,160000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels""]"
dacia,duster,,,,,,,2019,100000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
hyundai,i30,,,,,,,2016,85000,,,,manual,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""electric_windows""]"
skoda,octavia,,,,,,,2014,190000,,,,manual,,,,diesel,,,,,,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""leather_seats"", ""parking_sensors"", ""speed_limiter""]"
peugeot,expert,,,,,,,2020,40000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""electric_windows""]"
nissan,x-trail,,,,,,,2005,350000,,,,manual,,,,diesel,,,good,,5,,,"[""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""leather_seats"", ""navigation"", ""rear_camera"", ""sunroof""]"
renault,clio,,,,,,,2019,95000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
volkswagen,touareg,,,,,,,2009,170000,,,,automatic,,,,diesel,,,,,5,,,"[""leather_seats"", ""rear_camera""]"
renault,talisman,,,,,,,2022,35000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter"", ""sunroof""]"
peugeot,206,,,,,,,2002,190000,,,,manual,,,,petrol,,,very good,,5,,,"[""air_conditioning"", ""airbags"", ""cruise_control"", ""electric_windows""]"
toyota,rav4,,,,,,,2007,200000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""airbags"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""speed_limiter""]"
renault,express,,,,,,,2003,450000,,,,manual,,,,diesel,,,fair,,,,,"[""bluetooth""]"
dacia,logan mcv,,,,,,,2023,75000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
dacia,logan mcv,,,,,,,2022,10000,,,,manual,,,,diesel,,,new,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
volkswagen,t-roc,,,,,,,2022,20000,,,,automatic,,,,diesel,,,new,,5,,,"[""leather_seats""]"
audi,e-tron,,,,,,,2016,200000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
mercedes-benz,c class,,,,,,,2012,250000,,,,automatic,,,,diesel,,,good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
toyota,rav4,,,,,,,2019,150000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""bluetooth""]"
audi,q5,,,,,,,2016,150000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,206,,,,,,,2011,110000,,,,manual,,,,petrol,,,excellent,,5,,,"[""bluetooth"", ""electric_windows""]"
peugeot,308,,,,,,,2020,70000,,,,automatic,,,,diesel,,,very good,,5,,,"[""bluetooth"", ""leather_seats""]"
citroen,c3,,,,,,,2007,200000,,,,manual,,,,diesel,,,good,,5,,,"[""airbags"", ""central_locking"", ""cruise_control"", ""electric_windows""]"
peugeot,407,,,,,,,2007,40000,,,,manual,,,,diesel,,,good,,5,,,"[""electric_windows"", ""rear_camera""]"
mercedes-benz,190,,,,,,,1991,0,,,,manual,,,,diesel,,,good,,3,,,"[""alloy_wheels"", ""rear_camera""]"
peugeot,206 cc,,,,,,,2008,200000,,,,manual,,,,petrol,,,good,,5,,,"[""air_conditioning"", ""central_locking"", ""parking_sensors""]"
fiat,500,,,,,,,2022,50000,,,,automatic,,,,petrol,,,excellent,,3,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
fiat,punto,,,,,,,1994,25000,,,,manual,,,,petrol,,,very good,,5,,,"[""electric_windows"", ""leather_seats""]"
toyota,corolla,,,,,,,2018,95000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
peugeot,806,,,,,,,1996,0,,,,manual,,,,diesel,,,excellent,,,,,"[""bluetooth"", ""electric_windows""]"
autres,autres,,,,,,,2017,15000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""speed_limiter""]"
volkswagen,golf,,,,,,,2016,140000,,,,manual,,,,diesel,,,excellent,,5,,,"[""bluetooth"", ""leather_seats""]"
nissan,qashqai,,,,,,,2010,300000,,,,manual,,,,diesel,,,good,,5,,,"[""bluetooth"", ""leather_seats""]"
mercedes-benz,e class,,,,,,,2023,45000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""electric_windows""]"
mercedes-benz,c class,,,,,,,2002,100000,,,,manual,,,,diesel,,,good,,5,,,"[""bluetooth"", ""rear_camera""]"
fiat,panda,,,,,,,2011,140000,,,,manual,,,,petrol,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""bluetooth"", ""central_locking"", ""electric_windows""]"
chery,a113,,,,,,,2010,150000,,,,manual,,,,petrol,,,very good,,5,,,"[""airbags"", ""central_locking"", ""electric_windows""]"
land rover,range rover velar,,,,,,,2018,100000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
hyundai,tucson,,,,,,,2018,150000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""leather_seats"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
peugeot,308,,,,,,,2010,10000,,,,manual,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""electric_windows"", ""esp"", ""leather_seats"", ""speed_limiter""]"
ford,focus,,,,,,,2000,200000,,,,manual,,,,diesel,,,good,,5,,,"[""air_conditioning"", ""electric_windows""]"
mercedes-benz,190,,,,,,,2024,500000,,,,manual,,,,petrol,,,,,,,,"[""electric_windows"", ""rear_camera""]"
maserati,levante,,,,,,,2017,95000,,,,automatic,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
ssangyong,rexton,,,,,,,2008,190000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
kia,sportage,,,,,,,2012,250000,,,,automatic,,,,diesel,,,excellent,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""leather_seats"", ""navigation"", ""onboard_computer"", ""parking_sensors"", ""rear_camera"", ""speed_limiter"", ""sunroof""]"
fiat,grande punto,,,,,,,2009,60000,,,,manual,,,,diesel,,,very good,,5,,,"[""alloy_wheels"", ""leather_seats""]"
peugeot,306,,,,,,,1995,400000,,,,manual,,,,diesel,,,very good,,5,,,"[""central_locking"", ""electric_windows""]"
