Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
Audi,RS3,2023,,0 - 4 999,Automatic,12 CV,Petrol,"['CD/MP3/Bluetooth', 'Electric Windows']",,Imported New,,Tanger,Draoua,
Isuzu,D-MAX,2008,Excellent,0 - 4 999,Automatic,10 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",3.0,WW in Morocco,Yes,Béni Mellal,Toute la ville,130000.0
Seat,Leon,2012,Excellent,150 000 - 159 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Settat,Toute la ville,105000.0
Dacia,Logan,2018,Excellent,150 000 - 159 999,Manual,6 CV,Diesel,"['Leather Seats', 'Electric Windows']",5.0,WW in Morocco,No,Temara,Abbadi,87000.0
Renault,Kangoo,2018,New,120 000 - 129 999,Manual,6 CV,Diesel,"['Airbags', 'Electric Windows']",5.0,WW in Morocco,Yes,Ksar es-Seghir,Toute la ville,108000.0
Renault,Scenic,2001,Good,200 000 - 249 999,Manual,7 CV,Diesel,"['Rear Camera', 'Alloy Wheels']",5.0,WW in Morocco,,Salé,Ouled Moussa,65000.0
Volkswagen,Touareg,2009,Very Good,20 000 - 24 999,Automatic,12 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,WW in Morocco,No,Salé,Tabriquet,75000.0
BMW,M4,2023,New,0 - 4 999,Automatic,18 CV,Petrol,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",3.0,Imported New,Yes,Oujda,Hay El Qods,
Peugeot,106,1995,Fair,20 000 - 24 999,Manual,8 CV,Petrol,['Electric Windows'],5.0,WW in Morocco,No,Tanger,Ziatene,19000.0
Seat,Ibiza,2020,Very Good,80 000 - 84 999,Manual,6 CV,Petrol,"['ABS', 'Airbags', 'Air Conditioning', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Bourgogne,125000.0
Volkswagen,Touareg,2018,New,170 000 - 179 999,Automatic,8 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Rabat,Hay Riad,
Volkswagen,GOLF 3,1996,Very Good,200 000 - 249 999,Manual,8 CV,Diesel,['Alloy Wheels'],5.0,Customs-cleared car,No,Khouribga,Toute la ville,43000.0
Nissan,Qashqai,2018,Very Good,200 000 - 249 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Ain Sebaa,180000.0
Renault,19,1993,Very Good,130 000 - 139 999,Manual,7 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,Yes,Kénitra,Ouled Arfa,45000.0
Dacia,sandero_stepway,2018,Very Good,60 000 - 64 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,No,El Jadida,City Center,119000.0
Volkswagen,GOLF 7,2014,New,160 000 - 169 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Casablanca,Casablanca Finance City,200000.0
Volvo,XC40,2022,Excellent,35 000 - 39 999,Automatic,8 CV,Hybrid,"['Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Marrakech,Guéliz,
Kia,Sportage,2022,Excellent,70 000 - 74 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking']",5.0,WW in Morocco,Yes,Casablanca,Zone Industrielle,265000.0
Dacia,Logan,2018,Good,95 000 - 99 999,Manual,12 CV,Diesel,"['Airbags', 'Air Conditioning', 'Alloy Wheels', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,No,Agadir,Other,
Peugeot,2008,2016,Excellent,60 000 - 64 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Central Locking']",5.0,WW in Morocco,Yes,Marrakech,Targa,145000.0
Volkswagen,Touareg,2015,Excellent,95 000 - 99 999,Automatic,12 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",5.0,WW in Morocco,No,Tanger,Iberie,175000.0
Peugeot,208,2019,Excellent,65 000 - 69 999,Manual,7 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",,,Yes,Tanger,Tanger City Center,125000.0
Volkswagen,Tiguan,2016,New,120 000 - 129 999,Manual,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Ain Aouda,Toute la ville,
Hyundai,Santa Fe,2021,Excellent,100 000 - 109 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,Yes,Oujda,City Center,300000.0
Alfa Romeo,Giulietta,2016,Very Good,140 000 - 149 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Speed Limiter', 'Cruise Control']",5.0,WW in Morocco,,Casablanca,2 Mars,105000.0
Peugeot,301,2022,Excellent,80 000 - 84 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,El Jadida,Najd,130000.0
Seat,ALTEA XL,2016,Very Good,95 000 - 99 999,Manual,6 CV,Diesel,"['Electric Windows', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Belvédère,128000.0
Dacia,Sandero,2018,Excellent,60 000 - 64 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Onboard Computer', 'Parking Sensors', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,No,Ouled Ayad,Toute la ville,125000.0
Kia,Rio,2020,Excellent,50 000 - 54 999,Manual,8 CV,Petrol,"['Airbags', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Nador,City Center,130000.0
Citroen,C3 Aircross,2023,Excellent,25 000 - 29 999,Manual,7 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Speed Limiter', 'Central Locking', 'Electric Windows']",,WW in Morocco,Yes,Salé,Sala El Jadida,
Renault,Clio,2018,Very Good,110 000 - 119 999,Manual,6 CV,Diesel,"['Leather Seats', 'Electric Windows']",5.0,,No,Casablanca,Oulfa,100000.0
Dacia,Dokker,2019,Very Good,130 000 - 139 999,Manual,6 CV,Diesel,"['Leather Seats', 'Rear Camera']",5.0,,Yes,Casablanca,Oulfa,112000.0
Volkswagen,Passat,2012,Excellent,10 000 - 14 999,Manual,8 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Safi,Bled Eljed,120000.0
Hyundai,grand_santa_fe,2008,Very Good,110 000 - 119 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'Air Conditioning', 'Alloy Wheels', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Guelmim,Toute la ville,75000.0
BMW,Serie 4 gran coupé,2018,Excellent,75 000 - 79 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Bourgogne,
Dacia,Dokker,2015,Excellent,200 000 - 249 999,Manual,6 CV,Diesel,"['Leather Seats', 'Leather Seats']",,,,Casablanca,Errahma,
73,595,2021,Excellent,50 000 - 54 999,Automatic,8 CV,Petrol,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",3.0,WW in Morocco,Yes,Casablanca,Alsace Lorraine,
Audi,Q5,2022,Very Good,45 000 - 49 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Rabat,Other,
Skoda,Karoq,2020,Excellent,140 000 - 149 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Kénitra,Al Maghrib Al Arabi,263000.0
Audi,q3_sportback,2020,Excellent,90 000 - 94 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",,Customs-cleared car,,Rabat,Yacoub El Mansour,
Dacia,Duster,2018,Very Good,130 000 - 139 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Car not yet customs-cleared,No,Casablanca,Ain Sebaa,134000.0
Hyundai,ix 35,2012,Excellent,15 000 - 19 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Electric Windows']",5.0,WW in Morocco,No,Salé,Hay Salam,140000.0
Fiat,Palio,1999,Good,0 - 4 999,Manual,6 CV,Petrol,"['Leather Seats', 'Rear Camera']",5.0,,,Zagora,Toute la ville,27000.0
Skoda,Octavia,2016,New,140 000 - 149 999,Automatic,8 CV,Diesel,"['Leather Seats', 'Electric Windows']",3.0,WW in Morocco,Yes,Casablanca,Californie,
Hyundai,Santa Fe,2009,Good,140 000 - 149 999,Automatic,7 CV,Diesel,"['Airbags', 'Rear Camera', 'Air Conditioning', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Sunroof', 'Electric Windows']",5.0,Imported New,Yes,Casablanca,Aïn Chock,80000.0
Citroen,C3,2017,Very Good,65 000 - 69 999,Manual,7 CV,Petrol,"['Rear Camera', 'Leather Seats']",5.0,WW in Morocco,Yes,Laâyoune,Toute la ville,98000.0
Ford,Fiesta,2016,Very Good,160 000 - 169 999,Manual,6 CV,Diesel,"['ABS', 'Air Conditioning']",5.0,,,Tanger,Port Tanger ville,
Audi,A6,2015,Excellent,200 000 - 249 999,Automatic,8 CV,Diesel,"['Rear Camera', 'Alloy Wheels']",5.0,WW in Morocco,No,Casablanca,Sidi Maarouf,185000.0
Kia,Picanto,2010,Very Good,10 000 - 14 999,Manual,5 CV,Petrol,"['Leather Seats', 'Alloy Wheels']",,,,Oujda,Andalous,54000.0
Dacia,Duster,2018,Very Good,200 000 - 249 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,No,Marrakech,Allal El Fassi,140000.0
Volkswagen,e-golf,1992,Good,15 000 - 19 999,Manual,9 CV,Petrol,"['CD/MP3/Bluetooth', 'Electric Windows']",5.0,Customs-cleared car,No,Oujda,Hay Salam,
Mercedes-Benz,CLASSE ML,2008,Excellent,190 000 - 199 999,Automatic,12 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Casablanca,Belvédère,103000.0
Peugeot,2008,2021,Excellent,110 000 - 119 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Ain Sebaa,235000.0
Volkswagen,Polo,2014,Very Good,250 000 - 299 999,Manual,5 CV,Diesel,"['Leather Seats', 'Alloy Wheels']",5.0,WW in Morocco,Yes,Marrakech,Azli,95000.0
Dacia,Duster,2014,Good,120 000 - 129 999,Manual,6 CV,Diesel,"['Alloy Wheels', 'Leather Seats']",5.0,,No,Tanger,El Mrabet,130000.0
BMW,serie_2_gran_coupe,2021,Very Good,120 000 - 129 999,Automatic,8 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",5.0,WW in Morocco,Yes,Casablanca,Anfa,337000.0
Volkswagen,Jetta,2017,Very Good,120 000 - 129 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Rabat,Hay Al Farah,155000.0
Citroen,Berlingo,2019,Very Good,130 000 - 139 999,Manual,6 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Marrakech,Bouaakkaz,170000.0
Mercedes-Benz,Classe CLA,2021,Excellent,60 000 - 64 999,Automatic,9 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Rabat,Hay Riad,490000.0
Renault,Kangoo,2018,Very Good,110 000 - 119 999,Manual,7 CV,Diesel,"['Rear Camera', 'Air Conditioning', 'Central Locking']",5.0,WW in Morocco,No,Casablanca,Aïn Chock,109000.0
Renault,Clio,2005,Good,250 000 - 299 999,Manual,6 CV,Diesel,['Electric Windows'],5.0,WW in Morocco,,Rabat,Other,56000.0
Porsche,Cayenne,2012,Very Good,150 000 - 159 999,Automatic,22 CV,Hybrid,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Aïn Diab,345000.0
Nissan,Qashqai,2018,Excellent,0 - 4 999,Manual,6 CV,Diesel,"['Electric Windows', 'Electric Windows']",,,,Safi,Azib Derai,
Opel,Astra,2010,Very Good,180 000 - 189 999,Manual,7 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",,,,Salé,Sala El Jadida,90000.0
Peugeot,208,2020,Very Good,75 000 - 79 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Central Locking']",5.0,WW in Morocco,Yes,Rabat,Hay el Fath,150000.0
Peugeot,508,2013,Good,10 000 - 14 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats']",5.0,WW in Morocco,No,Casablanca,2 Mars,130000.0
Mercedes-Benz,Classe C,2015,Excellent,110 000 - 119 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,Yes,Casablanca,Aïn Diab,290000.0
Dacia,Dokker,2021,Very Good,160 000 - 169 999,Manual,6 CV,Diesel,"['Air Conditioning', 'Electric Windows']",5.0,WW in Morocco,Yes,Chichaoua,Toute la ville,121000.0
Volkswagen,Passat,1991,Good,0 - 4 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Temara,City Center,37500.0
Volkswagen,Golf,1995,Good,250 000 - 299 999,Manual,8 CV,Diesel,"['Electric Windows', 'Rear Camera']",5.0,Customs-cleared car,No,Tanger,Other,45000.0
Ford,Focus,2018,Excellent,75 000 - 79 999,Manual,6 CV,Diesel,"['Rear Camera', 'Rear Camera']",5.0,WW in Morocco,No,Agadir,Hay Salam,158000.0
Dacia,Dokker,2021,Excellent,65 000 - 69 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Mohammedia,Hay Al Falah,
Volkswagen,Bora,2004,Very Good,Plus de 500 000,Manual,8 CV,Diesel,"['Airbags', 'Rear Camera', 'Alloy Wheels']",,WW in Morocco,No,Marrakech,M'Hamid,
Hyundai,Santa Fe,2011,Very Good,5 000 - 9 999,Automatic,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Nador,Al aroui,110000.0
Peugeot,301,2017,Very Good,160 000 - 169 999,Manual,7 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",5.0,WW in Morocco,No,Mohammedia,Wafa,90000.0
Dacia,Duster,2019,Excellent,100 000 - 109 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Other,
Hyundai,i 30,2016,Excellent,85 000 - 89 999,Manual,6 CV,Diesel,"['Electric Windows', 'Alloy Wheels']",5.0,WW in Morocco,No,Tanger,Zemmouri,125000.0
Skoda,Octavia,2014,,190 000 - 199 999,Manual,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking']",,,,Agadir,El Houda,137000.0
Peugeot,Expert,2020,Very Good,40 000 - 44 999,Manual,10 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'Alloy Wheels', 'Electric Windows']",5.0,WW in Morocco,Yes,Marrakech,Massar,150000.0
Nissan,X-Trail,2005,Good,350 000 - 399 999,Manual,9 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Belvédère,65000.0
Renault,Clio,2019,Excellent,95 000 - 99 999,Automatic,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,,Fès,Ben Souda,128000.0
Volkswagen,Touareg,2009,,170 000 - 179 999,Automatic,12 CV,Diesel,"['Leather Seats', 'Rear Camera']",5.0,WW in Morocco,No,Marrakech,City Center,97000.0
Renault,Talisman,2022,Excellent,35 000 - 39 999,Automatic,8 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Navigation System/GPS', 'Sunroof', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,2 Mars,285000.0
Peugeot,206,2002,Very Good,190 000 - 199 999,Manual,8 CV,Petrol,"['Airbags', 'Air Conditioning', 'Cruise Control', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Hay Mohammadi,40000.0
Toyota,RAV 4,2007,Excellent,200 000 - 249 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'ESP', 'Speed Limiter', 'Cruise Control', 'Leather Seats', 'Electric Windows']",5.0,WW in Morocco,Yes,Tanger,Branes 1,93000.0
Renault,EXPRESS,2003,Fair,450 000 - 499 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'CD/MP3/Bluetooth']",,,,Fès,Other,
Dacia,Logan,2023,Excellent,75 000 - 79 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Electric Windows']",5.0,WW in Morocco,Yes,Rabat,Agdal,130000.0
Dacia,Logan,2022,New,10 000 - 14 999,Manual,7 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Tanger,Tanja Balia,
Volkswagen,t-roc,2022,New,20 000 - 24 999,Automatic,8 CV,Diesel,"['Leather Seats', 'Leather Seats']",5.0,WW in Morocco,Yes,Rabat,Hay Riad,345000.0
