brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
kia,cee'd,,,99,kw,,,2017,80300,km,,,manual,,,,petrol,,,,grey,,6.3,l/100km,[]
ford,mustang,5,,343,kw,,,2019,58000,km,,,automatic,,,,petrol,,,,blue,,12.1,l/100km,[]
toyota,corolla,,,72,kw,,,2019,26041,km,,,automatic,,,hybrid,,,,,red,,3.3,l/100km,"[""navigation"", ""rear_camera""]"
maserati,ghibli,3,,202,kw,,,2019,116172,km,6,,automatic,,,,diesel,,,,grey,,7.2,l/100km,"[""adaptive_cruise_control""]"
bmw,1 series,,,105,kw,,,2008,200000,km,,,manual,,,,diesel,,,,white,,4.5,l/100km,"[""navigation""]"
ford,ecosport,,,92,kw,,,2019,40800,km,,,manual,,,,petrol,,,,blue,,5.3,l/100km,"[""heated_seats"", ""parking_sensors"", ""rear_camera""]"
audi,a4,,,176,kw,,,2008,154686,km,,,manual,,,,diesel,,,,black,,6.8,l/100km,[]
mercedes-benz,glc class,,,190,kw,,,2017,228000,km,,,automatic,,,fossil,diesel,,,,silver,,,,"[""navigation""]"
bmw,3 series,,,170,kw,,,2003,95000,km,,,automatic,,,,petrol,,,,black,,9.6,l/100km,"[""leather_seats"", ""navigation"", ""parking_sensors""]"
volvo,xc60,,,228,kw,,,2019,32100,km,,,automatic,,,,petrol,,awd,,black,,7.8,l/100km,"[""dab_radio""]"
mini,convertible,,,100,kw,,,2023,5000,km,,,automatic,,,,petrol,,,,yellow,,6.4,l/100km,"[""alloy_wheels""]"
peugeot,2008,,,81,kw,,,2017,96890,km,,,manual,,,,petrol,,,,red,,4.4,l/100km,[]
volkswagen,polo,1,,44,kw,,,2015,58428,km,,,manual,,,,petrol,,,,white,,4.7,l/100km,"[""air_conditioning""]"
bmw,3 series,,,110,kw,,,2007,164000,km,,,manual,,,,petrol,,,,grey,,7.4,l/100km,[]
audi,a5,,,180,kw,,,2015,94163,km,,,automatic,,,,diesel,,awd,,grey,,5.7,l/100km,"[""navigation""]"
volkswagen,golf,,,135,kw,,,2019,65500,km,,,automatic,,,,diesel,,,,blue,,4.3,l/100km,[]
bentley,continental,,,467,kw,,,2014,40200,km,,,automatic,,,,petrol,,,,blue,,14.6,l/100km,"[""leather_seats""]"
mercedes-benz,c class,,,115,kw,,,2012,85500,km,,sedan,,,,,petrol,,,,black,,7.6,l/100km,[]
skoda,fabia,,,55,kw,,,2019,75259,km,,,manual,,,,petrol,,,,grey,,4.9,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""dab_radio"", ""heated_seats"", ""parking_sensors""]"
renault,kadjar,,,96,kw,,,2015,115404,km,,,manual,,,,diesel,,,,black,,4.9,l/100km,[]
renault,twingo,,,54,kw,,,2020,21000,km,,,manual,,,,petrol,,,,grey,,4.5,l/100km,[]
opel,corsa,,,64,kw,,,2011,99000,km,,,manual,,,,petrol,,,,brown,,5.5,l/100km,"[""air_conditioning"", ""alloy_wheels""]"
opel,crossland x,,,96,kw,,,2018,71100,km,,,manual,,,,petrol,,,,white,,5,l/100km,[]
peugeot,expert,,,66,kw,,,2015,95000,km,,,manual,,,,diesel,,,,white,,6.9,l/100km,"[""air_conditioning"", ""parking_sensors""]"
opel,astra,,,96,kw,turbo,,2019,19796,km,,,manual,,,,petrol,,,,silver,,5.5,l/100km,"[""navigation"", ""rear_camera""]"
nissan,x-trail,,,120,kw,,,2022,1900,km,,,automatic,,,,petrol,,,,blue,,,,[]
bmw,x1,,,110,kw,,,2014,95000,km,,,manual,,,,petrol,,,,black,,7.7,l/100km,[]
volkswagen,golf,,,81,kw,,,2018,34963,km,,,manual,,,,petrol,,,,yellow,,4.8,l/100km,"[""adaptive_cruise_control"", ""heated_seats"", ""navigation"", ""parking_sensors""]"
volkswagen,up!,,,55,kw,,,2014,181061,km,,,manual,,,,petrol,,,,blue,,4.7,l/100km,"[""air_conditioning"", ""heated_seats""]"
hyundai,ix20,1.6,,92,kw,,,2017,79296,km,,,automatic,,,,petrol,,,,silver,,6.5,l/100km,[]
bmw,3 series,,,142,kw,,,2000,203000,km,,wagon,manual,,,,petrol,,,,silver,,9.3,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""leather_seats""]"
volkswagen,golf,,,180,kw,,,2021,29300,km,,,automatic,,,hybrid,,,,,grey,,,,"[""dab_radio"", ""heated_seats"", ""navigation"", ""rear_camera""]"
jeep,renegade,,,110,kw,,,2020,90500,km,,,automatic,,,,petrol,,,,black,,6.4,l/100km,"[""adaptive_cruise_control"", ""navigation"", ""rear_camera""]"
peugeot,2008,,,96,kw,,,2021,47299,km,,,manual,,,,petrol,,,,grey,,5.7,l/100km,[]
citroen,c3 picasso,,,70,kw,,,2010,131439,km,,,manual,,,,petrol,,,,black,,,,"[""air_conditioning"", ""cruise_control"", ""onboard_computer"", ""parking_sensors""]"
kia,sportage,2,,136,kw,,,2019,54465,km,,,automatic,,,ABSTAIN,diesel,mhv,4wd,,black,,6.3,l/100km,[]
toyota,avensis,,,97,kw,,,2010,112990,km,,,manual,,,,petrol,,,,silver,,6.5,l/100km,"[""air_conditioning"", ""parking_sensors""]"
opel,astra,,,66,kw,,,2006,186000,km,,,manual,,,,petrol,,,,silver,,6.1,l/100km,[]
opel,meriva,,,77,kw,,,2009,132000,km,,,automatic,,,,petrol,,,,grey,,6.7,l/100km,[]
skoda,yeti,,,77,kw,,,2013,125000,km,,,manual,,,,petrol,,,,black,,6.6,l/100km,"[""air_conditioning""]"
volkswagen,golf,,,110,kw,,,2019,62048,km,,,manual,,,,diesel,,,,black,,5.2,l/100km,"[""adaptive_cruise_control"", ""navigation""]"
seat,arona,1,,81,kw,,,2022,20,km,,,manual,,,,petrol,,,,red,,4.8,l/100km,[]
peugeot,2008,,,100,kw,,,2022,2560,km,,,automatic,,,electric,,,,,black,,460,l/100km,[]
volkswagen,passat,,,90,kw,,,2009,218000,km,,,manual,,,,petrol,,,,blue,,5.9,l/100km,[]
renault,clio,,,67,kw,,,2022,14330,km,,,manual,,,,petrol,,,,orange,,5.1,l/100km,"[""air_conditioning"", ""heated_seats"", ""navigation"", ""parking_sensors""]"
bmw,5 series,,,145,kw,,,2008,158000,km,,,automatic,,,,diesel,,,,black,,6.9,l/100km,[]
bmw,4 series,,,180,kw,,,2014,82800,km,,,automatic,,,,petrol,,awd,,blue,,6.8,l/100km,[]
volkswagen,sharan,2,,110,kw,,,2017,86900,km,,,manual,,,,diesel,,,,blue,,5.1,l/100km,"[""navigation"", ""tow_bar""]"
audi,a6,,,125,kw,,,2004,255000,km,,,manual,,,,petrol,,,,grey,,9.9,l/100km,[]
mercedes-benz,s class,,,190,kw,,,2016,136000,km,,,automatic,,,fossil,diesel,,,,black,,5.7,l/100km,"[""panoramic_roof""]"
volkswagen,golf,,,103,kw,,,2006,211000,km,,,manual,,,,diesel,,,,blue,,5.4,l/100km,[]
audi,a5,2,,185,kw,,,2017,87000,km,,coupe,automatic,,,,petrol,,,,blue,,6.3,l/100km,"[""leather_seats"", ""rear_camera""]"
peugeot,rifter,,,96,kw,,,2021,80805,km,,,manual,,,,diesel,,,,grey,,4.3,l/100km,[]
porsche,macan,,,190,kw,,,2015,160000,km,,,automatic,,,,diesel,,,,white,,6.3,l/100km,"[""rear_camera""]"
bmw,5 series,,,180,kw,,,2011,137000,km,,,automatic,,,,diesel,,,,black,,6.9,l/100km,[]
opel,astra,,,110,kw,,,2018,88285,km,,,manual,,,,diesel,,,,black,,4.8,l/100km,"[""heated_seats"", ""rear_camera""]"
mercedes-benz,c class,,,90,kw,,,2005,133000,km,,,automatic,,,,diesel,,,,silver,,6.9,l/100km,[]
porsche,911,,,368,kw,,,2018,14182,km,,,manual,,,,petrol,,,,silver,,12.9,l/100km,[]
ford,focus,,,206,kw,,,2019,33500,km,,,manual,,,,petrol,,,,red,,7.9,l/100km,[]
ford,fiesta,1,,74,kw,,,2019,7035,km,,,manual,,,,petrol,,,,blue,,,,[]
toyota,verso,,,108,kw,,,2009,199900,km,,,automatic,,,,petrol,,,,grey,,7,l/100km,"[""heated_seats"", ""rear_camera""]"
porsche,macan,,,190,kw,,,2017,128300,km,,,automatic,,,,diesel,,,,grey,,6.3,l/100km,"[""navigation"", ""panoramic_roof"", ""premium_audio""]"
audi,a1,,,81,kw,,,2023,6000,km,,,automatic,,,,petrol,,,,red,,5.7,l/100km,"[""bluetooth"", ""heated_seats"", ""parking_sensors""]"
volkswagen,caddy,,,75,kw,,,2017,100000,km,,,manual,,,,diesel,,,,blue,,4.5,l/100km,"[""air_conditioning"", ""heated_seats"", ""navigation"", ""tow_bar""]"
opel,omega,,,106,kw,,,2002,119990,km,,,manual,,,,lpg,,,,silver,,9.6,l/100km,[]
mercedes-benz,x class,,,140,kw,,,2018,66800,km,,,automatic,,,,diesel,,,,white,,7.9,l/100km,"[""tow_bar""]"
mercedes-benz,clk,,,120,kw,,,2005,120000,km,,,automatic,,,,petrol,,,,blue,,8.7,l/100km,"[""bluetooth"", ""heated_seats"", ""leather_seats"", ""parking_sensors"", ""tow_bar""]"
ford,focus,,,74,kw,,,2013,84000,km,,,manual,,,,petrol,,,,white,,4.7,l/100km,[]
audi,a3,,,110,kw,,,2023,10,km,,,manual,,,,petrol,,,,white,,5.6,l/100km,"[""air_conditioning"", ""cruise_control"", ""parking_sensors""]"
mercedes-benz,sprinter,,,120,kw,,,2015,170260,km,,,manual,,,,diesel,,,,white,,8.2,l/100km,"[""cruise_control"", ""leather_seats"", ""navigation"", ""parking_sensors""]"
kia,xceed,,,118,kw,,,2022,14300,km,,,manual,,,,petrol,,,,white,,6.1,l/100km,[]
peugeot,boxer,,,121,kw,,,2023,10,km,,,manual,,,,diesel,,,,white,,9.1,l/100km,"[""dab_radio"", ""parking_sensors""]"
hyundai,i20,,,88,kw,,,2023,1500,km,,,manual,,,,petrol,,,,green,,5.6,l/100km,[]
mercedes-benz,e class,,,135,kw,,,2010,97636,km,,,automatic,,,,petrol,,,,black,,7.4,l/100km,[]
mercedes-benz,e class,,,125,kw,,,2010,293000,km,,,manual,,,,diesel,,,,grey,,5,l/100km,[]
toyota,aygo,,,53,kw,,,2022,10,km,,,manual,,,,petrol,,,,blue,,5,l/100km,[]
mercedes-benz,c class,,,100,kw,,,2009,207643,km,,,manual,,,,diesel,,,,black,,6.1,l/100km,[]
ford,fiesta,,,44,kw,,,2009,88095,km,,,manual,,,,petrol,,,,silver,,5.5,l/100km,"[""air_conditioning""]"
porsche,911,,,412,kw,,,2014,173500,km,,convertible,automatic,,,,petrol,,,,black,,9.9,l/100km,[]
audi,a3,,,92,kw,,,2016,83560,km,,convertible,manual,,,fossil,petrol,,,,black,,5.3,l/100km,"[""air_conditioning"", ""heated_seats"", ""navigation"", ""parking_sensors""]"
fiat,500,1,,51,kw,,,2023,5,km,,,manual,,,hybrid,petrol,,,,grey,,5.2,l/100km,[]
volkswagen,polo,,,55,kw,,,2015,123000,km,,,manual,,,,petrol,,,,grey,,5.1,l/100km,[]
nissan,qashqai,,,103,kw,,,2023,20,km,,,manual,,,,petrol,,,,black,,5.8,l/100km,"[""navigation""]"
ford,fiesta,,,60,kw,,,2008,77889,km,,,manual,,,,petrol,,,,blue,,5.7,l/100km,[]
bmw,3 series,,,140,kw,,,2020,32400,km,,,automatic,,,,diesel,,,,blue,,4.5,l/100km,"[""adaptive_cruise_control""]"
land rover,ABSTAIN,,,386,kw,,,2023,7000,km,,,automatic,,,,petrol,,,,blue,,12.8,l/100km,"[""head_up_display""]"
audi,tt rs,2.5,,250,kw,,,2011,94980,km,,coupe,automatic,ABSTAIN,,fossil,petrol,,awd,,grey,,8.5,l/100km,"[""navigation"", ""premium_audio""]"
audi,a3,,,92,kw,,,2012,117000,km,,,manual,,,,petrol,,,,brown,,6,l/100km,[]
mitsubishi,pajero,,,140,kw,,,2017,74168,km,,,automatic,,,,diesel,,,,white,,9.3,l/100km,[]
bmw,z4,,,225,kw,,,2009,122400,km,,roadster,automatic,,,,petrol,,,,blue,,9.4,l/100km,"[""leather_seats"", ""navigation""]"
mercedes-benz,c class,,,127,kw,,,2012,198000,km,,,manual,,,,diesel,,,,black,,4.4,l/100km,[]
volkswagen,polo,,,66,kw,,,2012,69000,km,,,automatic,,,,petrol,,,,grey,,5.3,l/100km,"[""parking_sensors"", ""sunroof""]"
citroen,berlingo,,,73,kw,,,2016,114746,km,,,,,,,diesel,,,,blue,,4.3,l/100km,[]
mercedes-benz,a class,,,80,kw,,,2005,219650,km,,,manual,,,,diesel,,,,silver,,5.4,l/100km,[]
mitsubishi,,,,110,kw,,,2022,3050,km,,,manual,,,,diesel,,,,orange,,,,"[""air_conditioning""]"
audi,a5,,,140,kw,,,2019,55700,km,,,automatic,,,,diesel,,awd,,red,,5.8,l/100km,"[""navigation"", ""panoramic_roof""]"
mercedes-benz,e class,,,155,kw,,,2014,85000,km,,coupe,automatic,,,,petrol,,,,black,,5.6,l/100km,[]
mini,convertible,,,90,kw,,,2012,74400,km,,,manual,,,,petrol,,,,red,,5.7,l/100km,"[""navigation""]"
volkswagen,t-roc,,,110,kw,,,2022,17550,km,,,automatic,,,,petrol,,,,black,,5.4,l/100km,"[""navigation"", ""rear_camera""]"
audi,a3,,,75,kw,,,2007,110450,km,,,manual,,,,petrol,,,,black,,7.1,l/100km,[]
ford,focus,,,110,kw,,,2017,62000,km,,,automatic,,,,petrol,,,,grey,,6.1,l/100km,"[""navigation""]"
audi,q3,,,110,kw,,,2023,9999,km,,,automatic,,,,diesel,,,,silver,,5,l/100km,"[""navigation""]"
audi,tt,,,132,kw,,,2005,91000,km,,convertible,manual,,,,petrol,,awd,,silver,,9.5,l/100km,[]
volkswagen,passat,,,110,kw,,,2005,133000,km,,,automatic,,,,petrol,,,,brown,,8.1,l/100km,[]
seat,ateca,,,110,kw,,,2017,58000,km,,,automatic,,,,petrol,,,,white,,5.5,l/100km,"[""alloy_wheels"", ""navigation""]"
aston martin,db11,,,447,kw,,,2017,12000,km,,,automatic,,,,petrol,,,,blue,,11.4,l/100km,[]
mercedes-benz,c class,,,125,kw,,,2007,224924,km,,,automatic,,,,diesel,,,,black,,6.6,l/100km,[]
skoda,rapid spaceback,,,70,kw,,,2018,47730,km,,,manual,,,,petrol,,,,red,,4.8,l/100km,"[""air_conditioning"", ""parking_sensors""]"
bmw,4 series gran coupe,,,265,kw,,,2017,2100,km,,,automatic,,,,petrol,,,,black,,6.8,l/100km,[]
fiat,qubo,,,54,kw,,,2009,170000,km,,,manual,,,,petrol,,,,blue,,7,l/100km,[]
peugeot,5008,,,130,kw,,,2022,14800,km,,,automatic,,,,diesel,,,,white,,6,l/100km,"[""heated_seats"", ""leather_seats""]"
volkswagen,golf,,,77,kw,,,2014,181900,km,,,manual,,,,diesel,,,,black,,3.9,l/100km,[]
audi,sq2,,,221,kw,,,2023,10,km,,,automatic,,,,petrol,,,,red,,7.7,l/100km,"[""navigation""]"
volkswagen,passat,,,90,kw,,,2011,120000,km,,,manual,,,,petrol,,,,blue,,6.4,l/100km,"[""navigation""]"
volkswagen,golf,,,195,kw,,,2015,58350,km,,,automatic,,,,petrol,,,,black,,8.2,l/100km,[]
audi,e-tron,,,230,kw,,,2020,53000,km,,,automatic,,,electric,,,awd,,white,,,,[]
audi,a6,2.7,,140,kw,,,2010,179000,km,,,automatic,ABSTAIN,,,diesel,,awd,,black,,7.1,l/100km,[]
volkswagen,touran,,,103,kw,,,2012,171000,km,,,manual,,,,diesel,,,,brown,,5.3,l/100km,[]
fiat,tipo,1.4,,70,kw,,,2017,67573,km,,,manual,,,,,,,,white,,,,[]
audi,a3,,,150,kw,,,2020,51000,km,,hatchback,automatic,,,hybrid,,,,,red,,1.9,l/100km,"[""adaptive_cruise_control"", ""heated_seats"", ""navigation"", ""parking_sensors""]"
hyundai,tucson,,,130,kw,,,2016,107500,km,,,automatic,,,,petrol,,,,black,,7.5,l/100km,"[""alloy_wheels"", ""heated_seats"", ""leather_seats"", ""rear_camera""]"
volkswagen,scirocco,,,130,kw,,,2013,111195,km,,,manual,,,,diesel,,,,blue,,5.1,l/100km,"[""bluetooth""]"
ford,tourneo connect,,,88,kw,,,2018,75300,km,,,automatic,,,,diesel,,,,silver,,5.2,l/100km,[]
ford,tourneo custom,,,125,kw,,,2023,15,km,,,automatic,,,,diesel,,,,grey,,7.3,l/100km,[]
kia,stinger,,,269,kw,,,2020,7056,km,,,automatic,,,,petrol,,,,grey,,10.6,l/100km,"[""head_up_display"", ""panoramic_roof"", ""premium_audio""]"
seat,arona,,,85,kw,,,2020,26000,km,,,manual,,,,petrol,,,,red,,5.7,l/100km,"[""leather_seats""]"
kia,sportage,,,136,kw,,,2020,20637,km,,,automatic,,,,diesel,,,,white,,5.8,l/100km,"[""leather_seats""]"
ford,kuga,,,100,kw,,,2008,133636,km,,,manual,,,,diesel,,,,black,,6.4,l/100km,"[""parking_sensors"", ""tow_bar""]"
seat,ibiza,,,59,kw,,,2019,62100,km,,,manual,,,,petrol,,,,blue,,5,l/100km,[]
skoda,octavia,,,110,kw,,,2016,246000,km,,,manual,,,fossil,diesel,,,,black,,4.7,l/100km,[]
mazda,cx-3,,,77,kw,,,2015,93257,km,,,manual,,,,diesel,,,,red,,4,l/100km,[]
skoda,kodiaq,,,140,kw,,,2017,123067,km,,,automatic,,,,diesel,,,,blue,,5.7,l/100km,"[""alloy_wheels"", ""navigation"", ""panoramic_roof""]"
opel,astra,,,85,kw,,,2016,133800,km,,,manual,,,,petrol,,,,red,,6.3,l/100km,"[""air_conditioning"", ""heated_seats""]"
volkswagen,polo,1.4,,132,kw,,,2011,105900,km,,,automatic,dct,,,petrol,,,,red,,5.9,l/100km,[]
ford,focus,,,74,kw,,,2014,191666,km,,wagon,manual,,,,petrol,,,,white,,4.8,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""bluetooth""]"
seat,ateca,,,110,kw,,,2021,32453,km,,,automatic,,,,petrol,,,,grey,,5.6,l/100km,"[""tow_bar""]"
bmw,4 series,,,135,kw,,,2019,31013,km,,,automatic,,,,petrol,,,,silver,,6.3,l/100km,"[""dab_radio"", ""head_up_display""]"
mercedes-benz,gla class,,,100,kw,,,2018,34595,km,,,automatic,,,,diesel,,,,blue,,5.5,l/100km,"[""memory_seats"", ""navigation"", ""panoramic_roof""]"
jaguar,f-type,,,423,kw,,,2022,3500,km,,,automatic,,,,petrol,,,,black,,11,l/100km,"[""keyless_entry"", ""panoramic_roof"", ""premium_audio""]"
volvo,s90,,,288,kw,,,2022,8900,km,,,automatic,,,hybrid,,,,,grey,,,,"[""navigation"", ""sunroof""]"
seat,ateca,,,110,kw,,,2023,50,km,,,automatic,,,,petrol,,,,grey,,6.7,l/100km,[]
skoda,karoq,1.5,,110,kw,,,2023,4950,km,,,automatic,,,,petrol,,,,grey,,6.2,l/100km,"[""navigation"", ""tow_bar""]"
nissan,qashqai+2,2,,110,kw,,,2013,154000,km,,,automatic,,,,diesel,,ABSTAIN,,black,,7.1,l/100km,[]
fiat,tipo,1,l,74,kw,,,2022,10,km,,,manual,,,,petrol,,,,silver,,5.4,l/100km,[]
mercedes-benz,e class,,,135,kw,,,2018,30298,km,,,automatic,,,,petrol,,,,white,,6.3,l/100km,"[""alloy_wheels""]"
ford,fiesta,,,74,kw,,,2018,113500,km,,,manual,,,,petrol,,,,orange,,4.6,l/100km,[]
citroen,c4,1.2,,96,kw,,,2021,35998,km,,,automatic,other,,,petrol,,,,white,,4.8,l/100km,[]
honda,cr-v,,,88,kw,,,2017,101500,km,,,manual,,,,diesel,,,,white,,4.5,l/100km,[]
seat,leon,,,110,kw,,,2022,13971,km,,,automatic,,,,diesel,,,,grey,,4.5,l/100km,[]
volkswagen,golf,,,150,kw,,,2020,23900,km,,,automatic,,,hybrid,,,,,blue,,1.2,l/100km,[]
bmw,6 series,,,230,kw,,,2012,184000,km,,,automatic,,,,diesel,,,,black,,5.7,l/100km,[]
mercedes-benz,b class,,,110,kw,,,2021,14000,km,,,automatic,,,,diesel,,,,blue,,5,l/100km,[]
hyundai,ix20,1.6,,92,kw,,,2016,35900,km,,,automatic,,,,petrol,,,,beige,,6.5,l/100km,[]
hyundai,i10,,,49,kw,,,2022,11890,km,,,manual,,,,petrol,,,,silver,,4.5,l/100km,[]
mazda,cx-5,,,135,kw,,,2018,105266,km,,,manual,,6,,diesel,,awd,,grey,,5.2,l/100km,"[""leather_seats""]"
